time_in,time_report,time_kmeans,time_total,nproc,teste_index
632774,226913,553293657,554153344,1,0
647639,242566,557620008,558510213,1,1
666296,237425,555758007,556661728,1,2
663999,237145,555092698,555993842,1,3
661475,241122,554687995,555590592,1,4
664497,238808,554249361,555152666,1,5
662314,248219,554690058,555600591,1,6
652910,242638,554487989,555383537,1,7
657867,237868,556499920,557395655,1,8
651502,250695,557115329,558017526,1,9
154428,302850,278388147,278845425,2,0
149843,264338,279413703,279827884,2,1

168695,304328,286390290,286863313,2,0
163156,340726,286256629,286760511,2,1
156202,436095,288916926,289509223,2,2
167429,374859,290196024,290738312,2,3
174463,267027,288172765,288614255,2,4
155888,253133,284407408,284816429,2,5
144147,251921,284450246,284846314,2,6
152115,286215,282596593,283034923,2,7
178700,254629,281964917,282398246,2,8
154125,292659,282259048,282705832,2,9
112555,341274,189820760,190274589,3,0
97276,326928,189785375,190209579,3,1
114489,348465,190127792,190590746,3,2
96367,329659,191205391,191631417,3,3
88231,251739,190202092,190542062,3,4
137758,326022,189422858,189886638,3,5
104849,292510,187676566,188073925,3,6
103873,307476,187549279,187960628,3,7
97382,273843,187444308,187815533,3,8
107589,305927,188004535,188418051,3,9
74342,299016,78299816,78673174,4,0
107276,357239,78310454,78774969,4,1
69077,324414,78776302,79169793,4,2
96957,275452,75349419,75721828,4,3
72530,312573,77919294,78304397,4,4
75631,343694,76283697,76703022,4,5
74818,291625,80593691,80960134,4,6
73962,304018,77859539,78237519,4,7
82092,253887,76488703,76824682,4,8
73483,296053,77199630,77569166,4,9
50964,273751,53990684,54315399,6,0
51105,286283,52720142,53057530,6,1
51380,219596,51981845,52252821,6,2
48167,272152,52519657,52839976,6,3
48548,279868,54786361,55114777,6,4
68059,267719,58899051,59234829,6,5
56262,269418,57747384,58073064,6,6
51815,214367,54622178,54888360,6,7
47284,266618,94323893,94637795,6,8
64915,247459,52893476,53205850,6,9
45482,307787,44511344,44864613,8,0
51769,352200,47513387,47917356,8,1
53403,293005,43455469,43801877,8,2
39057,289692,45294440,45623189,8,3
41877,384083,45846756,46272716,8,4
50902,300934,45073093,45424929,8,5
39139,311121,44457425,44807685,8,6
52493,278121,48774856,49105470,8,7
51166,318427,42607001,42976594,8,8
37871,261862,45170402,45470135,8,9
31847,390205,44375341,44797393,10,0
42162,259979,41490661,41792802,10,1
38012,331948,43894542,44264502,10,2
31436,272861,41505548,41809845,10,3
41734,330651,42646644,43019029,10,4
40101,255039,41925355,42220495,10,5
31466,339582,42038881,42409929,10,6
29232,373585,42402207,42805024,10,7
28980,307646,41332181,41668807,10,8
29374,327241,42692234,43048849,10,9
34245,297977,35433692,35765914,12,0
34562,317600,37240435,37592597,12,1
32860,328834,49715623,50077317,12,2
34487,314038,36234381,36582906,12,3
28418,321208,37247872,37597498,12,4
31944,329859,37085600,37447403,12,5
28150,322671,39356517,39707338,12,6
34244,199826,30524690,30758760,12,7
33232,213852,47135404,47382488,12,8
33078,275318,47075409,47383805,12,9
18943,241807,29591949,29852699,16,0
25251,258479,33183481,33467211,16,1
24893,241384,30261449,30527726,16,2
18110,241837,29619283,29879230,16,3
25201,227136,29596817,29849154,16,4
20267,238255,29891583,30150105,16,5
24946,236426,35267855,35529227,16,6
25045,256927,29737703,30019675,16,7
25362,249304,36060839,36335505,16,8
25740,243965,30685593,30955298,16,9
20925,281785,28424481,28727191,20,0
20586,267215,23914637,24202438,20,1
20158,264435,28558240,28842833,20,2
20827,266633,24402983,24690443,20,3
14714,244853,23831182,24090749,20,4
20714,261419,23842988,24125121,20,5
20713,262784,23861029,24144526,20,6
20946,277561,23898240,24196747,20,7
20476,263274,23843779,24127529,20,8
20570,269610,24145419,24435599,20,9
24314,266411,20165517,20456242,24,0
18624,287539,20190915,20497078,24,1
18167,276048,20136421,20430636,24,2
17861,285156,25423494,25726511,24,3
19319,284661,26024803,26328783,24,4
18857,292652,21469061,21780570,24,5
24607,274612,22334187,22633406,24,6
18574,277502,20103452,20399528,24,7
18373,273604,20128524,20420501,24,8
21563,280983,22043554,22346100,24,9
29710,281815,31259811,31571336,32,0
23977,276736,30763856,31064569,32,1
16093,270557,31769474,32056124,32,2
31677,284368,34276551,34592596,32,3
28480,293642,31276553,31598675,32,4
38486,285361,31237261,31561108,32,5
23639,268084,30813587,31105310,32,6
20708,280947,31617613,31919268,32,7
22001,272974,32475758,32770733,32,8
35222,254376,30664565,30954163,32,9
31059,275005,30319392,30625456,40,0
73091,282150,29251282,29606523,40,1
44897,263641,29356520,29665058,40,2
24541,268303,29823137,30115981,40,3
36695,287842,30680578,31005115,40,4
58620,273360,30144340,30476320,40,5
41244,272386,29307062,29620692,40,6
26917,268723,29901642,30197282,40,7
23845,287407,29636789,29948041,40,8
55479,278142,30135402,30469023,40,9
