nprocs,mean,confidence_interval,speedup,efficiency
1,5580,[5455 - 5705],1.000000,1.000000
2,5731,[5579 - 5883],0.973652,0.486826
3,5240,[5109 - 5371],1.064885,0.354962
4,5182,[5072 - 5292],1.076804,0.269201
6,5568,[5082 - 6054],1.002155,0.167026
8,5218,[5125 - 5311],1.069375,0.133672
10,5806,[5230 - 6382],0.961075,0.096107
12,6023,[5217 - 6829],0.926449,0.077204
16,5966,[5463 - 6469],0.935300,0.058456
20,7152,[6611 - 7693],0.780201,0.039010
24,7202,[7169 - 7235],0.774785,0.032283
32,8230,[7846 - 8614],0.678007,0.021188
40,9748,[8231 - 11265],0.572425,0.014311
